tier,repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions
geometry_only,0,1,792,198,stack_nnls,0.8400553972153316,0.4132776158223523,0.6428667169968845,0.4372158493832976,2.87586664700813,0
geometry_only,0,2,792,198,prior_xgb,0.8331994520316998,0.38722604005482175,0.6222748910689083,0.40221838080341177,4.003491771697998,0
geometry_only,0,2,792,198,prior_gbr,0.8356481763347472,0.3815413476086359,0.6176903331027902,0.4169138062042803,3.5273990003067723,0
geometry_only,0,2,792,198,prior_rf,0.8249397077120926,0.4064009655793747,0.6374958553428992,0.44413338930797247,3.388724374999999,0
geometry_only,0,2,792,198,rf,0.8263055557993418,0.40323016097121184,0.6350040637438565,0.4446546969696969,3.3533399999999993,0
geometry_only,0,2,792,198,gbr,0.8182178969487716,0.42200559155682266,0.6496195744871168,0.46996398987471666,3.32853422923131,0
geometry_only,0,2,792,198,svr,0.751347019781694,0.5772457587852955,0.7597669108254818,0.5023016656944886,4.045618075082119,0
geometry_only,0,2,792,198,mlp,0.8030441677001078,0.4572312737346819,0.6761887855729951,0.4404293185803626,4.146115673065186,1
geometry_only,0,2,792,198,pinn,0.7967999324189723,0.4717272123304245,0.6868240038979596,0.44365501314281214,4.417410266876221,0
geometry_only,0,2,792,198,stack_ridge,0.8358252247960624,0.3811303311257289,0.6173575391341138,0.3895347371984224,4.093262195424705,0
geometry_only,0,2,792,198,stack_nnls,0.8340027490364925,0.38536119295484156,0.6207746716441012,0.3927140765545935,4.094526437840062,0
geometry_only,0,3,792,198,prior_xgb,0.8171029279045015,0.5146261330632679,0.7173744719902346,0.4669271377421389,3.30379656791687,0
geometry_only,0,3,792,198,prior_gbr,0.8229875074335524,0.49806841361460685,0.7057396216839514,0.4802788117784534,3.38909493101455,0
geometry_only,0,3,792,198,prior_rf,0.8069001427149596,0.5433341918004112,0.7371120619013172,0.5142869807284955,3.141620869408367,0
geometry_only,0,3,792,198,rf,0.8021191770728459,0.5567866207131313,0.746181359130025,0.5183708080808082,3.1948899999999973,0
