repeat,fold,n_train,n_valid,r2,mse,rmse,mae,max_error,negative_predictions,variant
2,12,792,198,0.7831541866419602,0.4614825390743305,0.6793250614207682,0.47231954910645124,3.278866325159111,0,gbr_prior_only
2,13,792,198,0.8439210620808495,0.4385673276539933,0.6622441601509169,0.4850326786677487,2.048775238720273,0,gbr_prior_only
2,14,792,198,0.6872640626841191,0.5339648069147547,0.7307289558480317,0.49009864671653053,3.197843603836956,0,gbr_prior_only
3,15,792,198,0.8137658527942278,0.38490475445009903,0.6204069265007436,0.467703380784784,2.5557960160679283,0,gbr_prior_only
3,16,792,198,0.850614624117349,0.4171041315517461,0.6458359943141494,0.4479481994323877,2.6636142742382143,0,gbr_prior_only
3,17,792,198,0.8659368403306626,0.3640093266527482,0.6033318544986235,0.4348220375080713,2.8760297231892684,0,gbr_prior_only
3,18,792,198,0.8463553846426388,0.3532954316672297,0.5943866011841364,0.43830215398674116,2.5954037310900357,0,gbr_prior_only
3,19,792,198,0.7626698397240248,0.4887516809644552,0.6991077749277683,0.5055805576227054,2.9697288910883337,0,gbr_prior_only
4,20,792,198,0.8205750662622804,0.43604922290235437,0.6603402326849049,0.4998944294619492,2.3271902682300185,0,gbr_prior_only
4,21,792,198,0.821080637633262,0.5158877370530142,0.718253254119335,0.5086378631189904,3.0274294673430004,0,gbr_prior_only
4,22,792,198,0.7943426158037853,0.4119277695644795,0.6418159935405782,0.43681594075405616,2.9828361803307657,0,gbr_prior_only
4,23,792,198,0.8561229111339307,0.35445434816808963,0.5953606874560073,0.4407646177834201,2.4096486376719928,0,gbr_prior_only
4,24,792,198,0.8371498388439312,0.3444950423205857,0.5869370002995089,0.4310409020877978,2.0387863915034723,0,gbr_prior_only
