Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
MnCoBr4,0.024,-0.548,Yes,pmm2,Rectangular (op),3.371,3.104,-27.57,31.365,2.423,ABC4,8
Na6H2S10,0.08,-0.56,No,p2_1/m11,Rectangular (op),3.375,8.625,-65.354,62.229,1.175,AB3C5,0
K2Ta2Br12,0,-1.205,No,p2_111,Rectangular (op),3.385,10.264,-60.372,59.174,1.758,ABC6,0
Mo2As4O12,0.031,-1.538,No,p2_111,Rectangular (op),3.396,8.003,-130.226,29.507,2.471,AB2C6,0
K4As4S8,0,-0.648,No,p2_1/b11,Rectangular (op),3.407,5.887,-66.526,61.656,1.593,ABC2,0
Co2Sb4Br4O6,0.02,-1.018,Yes,p2_1/m11,Rectangular (op),3.435,6.151,-87.461,43.738,2.075,AB2C2D3,6
Ga8S12,0.011,-0.652,No,p2_1/b11,Rectangular (op),3.44,3.698,-85.204,76.702,1.599,A2B3,0
ScBiO2Cl2,0.061,-2.103,No,pmm2,Rectangular (op),3.46,5.563,-35.77,14.41,4.284,ABC2D2,0
K4P4S8,0.014,-0.651,No,p2_1/b11,Rectangular (op),3.462,5.586,-69.382,59.204,1.693,ABC2,0
Nb2Br2O4,0,-2.229,No,p2_1/m11,Rectangular (op),3.469,7.008,-62.147,14.591,2.709,ABC2,0
Na6Te2H2S8,0,-0.633,No,p2_1/m11,Rectangular (op),3.502,7.965,-64.917,62.201,1.263,ABC3D4,0
Cr2O2F2,0,-2.316,Yes,pmmn,Rectangular (op),3.502,4.282,-46.133,11.767,1.866,ABC,6
In4S4Br4,0,-0.719,No,p2_1/b11,Rectangular (op),3.507,4.674,-42.332,54.047,1.692,ABC,0
Cd2Sb2F2O4,0.072,-1.517,No,p2_1/m11,Rectangular (op),3.513,4.708,-49.512,30.782,1.513,ABCD2,0
Cd2Sb2Br2O4,0.018,-1.146,No,p2_1/m11,Rectangular (op),3.518,6.701,-45.795,30.586,1.959,ABCD2,0
Hg2Bi2Br2O4,0.018,-0.849,No,p2_1/m11,Rectangular (op),3.519,6.628,-43.276,33.383,1.757,ABCD2,0
Co2Sb4Cl4O6,0.016,-1.108,Yes,p2_1/m11,Rectangular (op),3.522,5.765,-89.69,43.042,1.995,AB2C2D3,6
In2S2Cl2,0.028,-0.801,No,pm2_1n,Rectangular (op),3.523,5.823,-22.06,22.823,1.958,ABC,0
Sc2S2Cl2,0,-2.053,No,pmmn,Rectangular (op),3.528,5.535,-33.361,18.834,3.412,ABC,
Al4S6,0.024,-1.046,No,pm2_1b,Rectangular (op),3.531,2.882,-49.886,38.325,3.083,A2B3,0
In4S4Cl4,0,-0.83,No,p2_1/b11,Rectangular (op),3.536,4.193,-44.461,53.102,1.655,ABC,0
Sc2O2I2,0.015,-2.582,No,pmmn,Rectangular (op),3.54,6.196,-38.014,14.895,4.348,ABC,
Al2Te2Br2,0,-0.777,No,pm2_1n,Rectangular (op),3.547,5.857,-21.718,25.177,1.862,ABC,0
Hf2N2F2,0,-2.579,No,pmmn,Rectangular (op),3.55,4.632,-50.367,13.83,3.375,ABC,0
Sc2BrClS2,0,-1.974,No,pmm2,Rectangular (op),3.553,5.699,-32.692,19.055,3.562,ABC2D2,0
Te6O14,0.093,-0.926,No,pm2_1n,Rectangular (op),3.556,10.365,-109.483,42.309,2.31,A3B7,0
Sc2S2Br2,0,-1.892,No,pmmn,Rectangular (op),3.561,5.869,-31.995,19.255,3.503,ABC,
Sc4ClBr3S4,0,-1.935,No,pmm2,Rectangular (op),3.562,5.882,-64.711,38.297,3.556,AB3C4D4,0
Ag4Br4,0.005,-0.342,No,p2_12_12,Rectangular (op),3.583,3.275,-20.434,38.113,2.65,AB,0
Mg2I4,0.089,-0.992,No,pmma,Rectangular (op),3.593,4.278,-15.103,30.054,1.748,AB2,0
Tl4Cl4,0.091,-0.934,No,pbma,Rectangular (op),3.596,2.172,-24.601,60.766,1.823,AB,0
Al8Se12,0,-0.857,No,p2_1/b11,Rectangular (op),3.6,3.776,-88.833,82.11,1.659,A2B3,0
Ga2O2Br2,0.019,-1.365,No,pmmn,Rectangular (op),3.601,5.541,-27.415,13.105,3.742,ABC,
Cr2Cl2F2,0.159,-1.584,Yes,pmmn,Rectangular (op),3.604,4.423,-35.062,19.743,2.745,ABC,8
Si4Se8,0.004,-0.446,No,p2_1/b11,Rectangular (op),3.613,3.341,-54.81,53.523,1.624,AB2,0
W2O4Cl4,0,-1.691,No,pb2_1m,Rectangular (op),3.613,4.547,-67.515,30.322,1.748,AB2C2,0
Sb6H2O12,0.086,-1.254,No,p2_111,Rectangular (op),3.614,3.564,-119.654,63.848,1.415,AB3C6,0
CdN2Cl2H4C4,0.141,-0.27,No,p2/m11,Rectangular (op),3.619,4.036,-74.89,29.354,1.316,AB2C2D4E4,
In4Br4,0.05,-0.645,No,pmm2,Rectangular (op),3.624,2.739,-22.551,56.219,1.999,AB,0
Ga4Se4Br4,0,-0.744,No,p2_1/b11,Rectangular (op),3.625,4.723,-40.81,51.73,1.66,ABC,0
Ga2Se2Cl2,0.001,-0.868,No,pm2_1n,Rectangular (op),3.625,5.419,-21.549,21.771,1.882,ABC,0
Ge2O2,0.051,-1.185,No,pm2_1n,Rectangular (op),3.628,2.237,-24.021,14.003,1.387,AB,0
Al4Te4Br4,0.003,-0.774,No,p2_1/b11,Rectangular (op),3.629,4.721,-43.398,58.662,1.617,ABC,0
Pb2Cl4,0.032,-1.146,No,pmmn,Rectangular (op),3.649,2.939,-21.533,32.944,2.667,AB2,0
In2Br2,0.05,-0.645,No,pmmn,Rectangular (op),3.651,2.684,-11.276,28.324,2.02,AB,0
Ni2N4O12,0.011,-0.428,No,p2_1/b11,Rectangular (op),3.653,4.388,-117.093,43.819,1.263,AB2C6,0
Al2Te2Cl2,0,-0.939,No,pm2_1n,Rectangular (op),3.659,5.494,-23.09,24.845,1.815,ABC,0
In2Ga2O6,0.056,-1.66,No,pm2_1n,Rectangular (op),3.665,5.719,-58.675,17.44,2.284,ABC3,0
Cd2Bi2Br2O4,0.004,-1.111,No,p2_1/m11,Rectangular (op),3.667,6.447,-45.977,32.386,1.852,ABCD2,0
Al4Se4I4,0,-0.786,No,p2_1/b11,Rectangular (op),3.667,5.384,-44.224,52.153,1.848,ABC,0
In2O2F2,0.057,-2.035,No,pmmn,Rectangular (op),3.685,4.693,-31.157,13.986,3.137,ABC,0
Mn2I2Cl2,0.036,-0.704,Yes,pmm2,Rectangular (op),3.692,2.98,-30.183,34.517,2.482,ABC,10
Ag6Cl6,0.019,-0.42,No,pmmn,Rectangular (op),3.705,5.818,-32.79,56.283,2.209,AB,0
SrVICl3,0.066,-1.607,Yes,pm11,Rectangular (op),3.719,3.186,-26.671,29.455,2.884,ABCD3,3
Sn4O4,0.002,-1.301,No,pb2_1a,Rectangular (op),3.719,2.543,-47.13,29.822,1.567,AB,0
Pb4O4,0.007,-1.156,No,pb2_1a,Rectangular (op),3.731,2.653,-44.78,29.997,1.587,AB,0
Cr2Cl2F2,0.13,-1.612,Yes,pm2_1n,Rectangular (op),3.731,5.647,-35.233,14.477,3.463,ABC,8
Mo2O6,0,-2.003,No,p2_1/m11,Rectangular (op),3.738,6.341,-69.176,14.485,2.335,AB3,
V2Br2Cl2,0,-1.02,Yes,p2_1/m11,Rectangular (op),3.74,2.948,-29.909,24.314,3.021,ABC,6
Hg2Bi2Cl2O4,0.026,-0.897,No,p2_1/m11,Rectangular (op),3.745,6.194,-44.158,33.496,1.691,ABCD2,0
Al4S4I4,0.01,-0.888,No,p2_1/b11,Rectangular (op),3.757,5.434,-47.837,47.858,1.886,ABC,0
Ga2Se2Cl2,0.011,-0.858,No,pm2_1n,Rectangular (op),3.759,5.103,-21.492,24.504,2.918,ABC,0
Bi4O6,0.034,-1.207,No,p2/b11,Rectangular (op),3.769,2.062,-61.509,34.558,2.92,A2B3,0
Co2As4Br4O6,0.046,-0.858,Yes,p2_1/m11,Rectangular (op),3.781,5.786,-85.927,41.409,1.975,AB2C2D3,6
Li4Bi4O8,0,-1.525,No,pb2_1a,Rectangular (op),3.784,5.821,-91.655,27.213,2.02,ABC2,0
Al4Te4Cl4,0.004,-0.935,No,p2_1/b11,Rectangular (op),3.786,4.291,-46.133,57.845,1.569,ABC,0
Y2S2F2,0.07,-3.024,No,pmmn,Rectangular (op),3.8,4.689,-38.858,20.086,3.055,ABC,0
Sn2Cl2F2,0.079,-1.635,No,pm2_1b,Rectangular (op),3.808,3.101,-24.665,26.035,2.219,ABC,0
Ga2Al2S6,0,-0.874,No,pm2_1n,Rectangular (op),3.811,6.818,-46.488,21.667,2.648,ABC3,0
Te4O8,0,-1.087,No,p2_1/b11,Rectangular (op),3.812,4.037,-66.858,31.68,1.843,AB2,0
Ga2Se2F2,0.065,-1.468,No,pm2_1n,Rectangular (op),3.814,4.184,-24.755,20.018,1.659,ABC,0
Tl2Br2,0.067,-0.812,No,pmmn,Rectangular (op),3.833,2.366,-11.414,31.363,1.912,AB,0
Sb2Te2H2O10,0.084,-1.09,No,p2_111,Rectangular (op),3.844,6.55,-90.554,31.792,2.113,ABCD5,0
In2Cl2,0.036,-0.806,No,pmmn,Rectangular (op),3.859,2.795,-12.321,25.214,2.067,AB,0
Pt2N4O12,0.013,-0.348,No,p2_1/b11,Rectangular (op),3.864,4.635,-113.866,46.106,1.339,AB2C6,0
Ag2Cl2,0.028,-0.41,No,pmam,Rectangular (op),3.865,0,-10.891,31.585,1.725,AB,0
Hg2Te2H4O8,0.022,-0.897,No,pm2_1n,Rectangular (op),3.869,4.631,-76.821,32.076,1.622,ABC2D4,0
V4O10,0.017,-2.261,No,p2_1/m11,Rectangular (op),3.877,7.099,-116.991,22.679,2.175,A2B5,
Mo2O4Cl4,0,-1.545,No,pb2_1m,Rectangular (op),3.881,4.472,-65.487,31.492,1.649,AB2C2,0
Mn2I2Cl2,0.037,-0.703,Yes,pm2_1b,Rectangular (op),3.891,4.63,-30.178,28.607,2.738,ABC,10
Co2As4Cl4O6,0.05,-0.946,Yes,p2_1/m11,Rectangular (op),3.906,5.297,-88.138,41.152,1.882,AB2C2D3,6
Hg2Se2H4O8,0.006,-0.825,No,pm2_1n,Rectangular (op),3.908,4.332,-76.222,31.242,1.616,ABC2D4,0
Ca2Bi4O8,0,-1.757,No,p2_1/m11,Rectangular (op),3.923,6.422,-88.307,26.394,2.308,AB2C4,0
Na2Nb2Cl12,0,-1.453,No,p2_111,Rectangular (op),3.936,9.463,-67.935,46.758,1.811,ABC6,0
Na4Bi4O8,0,-1.41,No,pbma,Rectangular (op),3.947,6.44,-87.48,29.866,1.973,ABC2,0
Cd2Sb2Cl2O4,0.035,-1.201,No,p2_1/m11,Rectangular (op),3.951,6.27,-46.742,30.627,1.898,ABCD2,0
Ga4Se4Cl4,0,-0.869,No,p2_1/b11,Rectangular (op),3.966,4.29,-43.113,51.009,1.615,ABC,0
W2O4F4,0,-2.59,No,pb2_1m,Rectangular (op),3.972,3.654,-75.711,30.232,1.361,AB2C2,0
Se4O8,0.023,-0.679,No,p2_1/b11,Rectangular (op),3.98,4.004,-63.076,34.315,1.487,AB2,0
Zn2Sb4O8,0.028,-1.363,No,p2_111,Rectangular (op),3.983,6.104,-80.075,24.466,2.362,AB2C4,0
Sb2S2F2,0.071,-1.178,No,pb11,Rectangular (op),3.987,1.833,-27.207,32.365,2.238,ABC,0
Li2Nb2Cl12,0,-1.444,No,p2_111,Rectangular (op),4.007,9.052,-68.954,42.177,1.936,ABC6,0
Sb2As4H2O12,0.094,-1.151,No,p2_111,Rectangular (op),4.011,2.861,-118.622,63.265,1.291,ABC2D6,0
Mg2I2Cl2,0.08,-1.404,No,pmm2,Rectangular (op),4.018,2.986,-18.186,35.114,2.369,ABC,0
In2O2Cl2,0,-1.42,No,pmmn,Rectangular (op),4.019,5.667,-27.866,14.777,3.772,ABC,
Rb2Hg4S2O6Br6,0.034,-1.053,No,pm2_1n,Rectangular (op),4.024,11.387,-74.833,40.134,2.489,ABC2D3E3,0
Cu2F4,0.011,-1.595,Yes,p2_1/b11,Rectangular (op),4.028,1.952,-23.268,18.038,1.174,AB2,2
Sr2Bi4O8,0,-1.766,No,p2_1/m11,Rectangular (op),4.038,6.448,-87.759,28.56,2.253,AB2C4,0
Ta2Cl2O4,0,-2.431,No,pmma,Rectangular (op),4.04,6.683,-63.151,14.212,2.751,ABC2,0
K2Nb2Cl12,0,-1.519,No,p2_111,Rectangular (op),4.055,9.662,-68.818,53.887,1.717,ABC6,0
Al2S2Br2,0.002,-1.115,No,pm2_1n,Rectangular (op),4.056,5.953,-25.494,19.981,1.939,ABC,0
Cd2Bi2F2O4,0.039,-1.495,No,p2_1/m11,Rectangular (op),4.057,4.729,-49.821,32.429,1.431,ABCD2,0
Cd2Bi2Cl2O4,0.027,-1.168,No,p2_1/m11,Rectangular (op),4.073,6.04,-46.954,32.411,1.78,ABCD2,
Ga4S4Br4,0,-0.774,No,p2_1/b11,Rectangular (op),4.074,4.869,-43.557,47.857,1.673,ABC,0
Ca2Sb4O8,0,-1.926,No,p2_1/m11,Rectangular (op),4.083,6.093,-89.606,25.602,2.404,AB2C4,0
Bi4O6,0.063,-1.178,No,p2_1/m11,Rectangular (op),4.095,2.632,-61.22,42.951,1.225,A2B3,0
Mg2I2Br2,0.062,-1.245,No,pm2_1b,Rectangular (op),4.108,5.035,-16.833,30.466,2.575,ABC,0
Y2S2Br2,0,-2.087,No,pmmn,Rectangular (op),4.114,6.249,-33.231,21.794,3.586,ABC,0
Mg2I2Br2,0.06,-1.247,No,pmm2,Rectangular (op),4.122,3.174,-16.842,36.211,2.396,ABC,0
V4S4F12,0.082,-2.267,No,p2_1/b11,Rectangular (op),4.129,5.268,-114.793,47.553,1.55,ABC3,0
Ba2Bi4O8,0,-1.75,No,p2_1/m11,Rectangular (op),4.146,6.507,-87.845,31.637,2.275,AB2C4,0
Y2S2Cl2,0,-2.248,No,pmmn,Rectangular (op),4.146,5.88,-34.596,21.428,3.531,ABC,0
Al4S6,0,-1.071,No,pm2_1n,Rectangular (op),4.164,6.84,-50.127,21.359,2.658,A2B3,0
Cd2Br2Cl2,0.029,-0.981,No,pmm2,Rectangular (op),4.186,3.068,-14.479,34.292,2.344,ABC,0
Y2Br6,0.056,-1.907,No,pmmn,Rectangular (op),4.203,4.242,-34.149,35.938,3.191,AB3,0
Ga2S2Cl2,0.002,-0.901,No,pm2_1n,Rectangular (op),4.207,5.548,-22.937,20.093,1.9,ABC,0
Te4Se2O14,0.036,-0.875,No,pm2_1n,Rectangular (op),4.219,9.687,-109.031,42.724,2.173,AB2C7,0
Bi4B4O12,0.039,-1.861,No,p2_1/b11,Rectangular (op),4.227,4.248,-144.235,41.951,1.868,ABC3,0
Ga4O6,0.05,-1.763,No,pm2_1n,Rectangular (op),4.238,5.422,-59.989,15.74,2.204,A2B3,0
Al2Se2Br2,0.003,-1.002,No,pm2_1n,Rectangular (op),4.26,5.898,-23.622,21.84,1.91,ABC,0
Mn2I2Cl2,0.013,-0.727,Yes,pm2_1b,Rectangular (op),4.269,5.448,-30.323,27.814,2.684,ABC,10
Cr2F4,0.117,-2.329,Yes,p2_1/b11,Rectangular (op),4.28,1.86,-39.14,20.369,1.122,AB2,8
Sb2H2Se2O10,0.09,-0.94,No,p2_111,Rectangular (op),4.28,6.527,-88.704,29.466,2.186,ABCD5,0
Li2Ta2Cl12,0,-1.505,No,p2_12_12,Rectangular (op),4.317,8.796,-68.91,39.128,2.122,ABC6,0
Mn2Br2F2,0.086,-1.493,Yes,pmmn,Rectangular (op),4.317,4.442,-34.734,19.66,2.797,ABC,10
Sr2Sb4O8,0,-1.927,No,p2_1/m11,Rectangular (op),4.358,6.158,-88.943,28,2.342,AB2C4,0
Al8S12,0.022,-1.049,No,p2_1/b11,Rectangular (op),4.387,3.38,-99.812,75.652,1.593,A2B3,0
In2Al2O6,0.096,-2.21,No,pm2_1n,Rectangular (op),4.392,5.612,-65.852,16.69,2.297,ABC3,0
Li4Sb4O8,0,-1.681,No,pb2_1a,Rectangular (op),4.432,5.414,-93.08,28.482,1.958,ABC2,0
Tl2Cl2,0.062,-0.963,No,pmmn,Rectangular (op),4.44,2.501,-12.416,28.638,1.869,AB,0
K2Ta2Cl12,0,-1.584,No,p2_111,Rectangular (op),4.44,9.596,-68.84,54.646,1.719,ABC6,0
Cd2Br2Cl2,0.022,-0.988,No,pm2_1b,Rectangular (op),4.446,5.451,-14.52,27.843,2.497,ABC,0
Nb2Cl2O4,0.012,-2.322,No,p2_1/m11,Rectangular (op),4.453,6.707,-63.292,14.299,2.69,ABC2,0
Li4Sb4O8,0.003,-1.678,No,p2_1/b11,Rectangular (op),4.47,5.405,-93.029,29.028,1.949,ABC2,0
V4O10,0,-2.277,No,pmmn,Rectangular (op),4.472,4.459,-117.223,40.744,1.331,A2B5,
Tl4F4,0.017,-1.807,No,p2_1/m11,Rectangular (op),4.474,3.262,-30.79,30.591,2.502,AB,0
Zn2Br2Cl2,0.011,-1.044,No,pmm2,Rectangular (op),4.521,2.837,-15.37,29.261,2.394,ABC,0
Rb2Hg4S2O6Cl6,0.029,-1.123,No,pm2_1n,Rectangular (op),4.545,11.019,-77.435,39.17,2.46,ABC2D3E3,0
Mo2Zn2Te2O12,0.007,-1.621,No,p2_12_12,Rectangular (op),4.549,7.726,-121.855,26.877,2.818,ABCD6,
Si4S8,0.01,-0.661,No,p2_1/b11,Rectangular (op),4.553,3.059,-62.149,48.277,1.575,AB2,0
Ba2Sb4O8,0,-1.9,No,p2_1/m11,Rectangular (op),4.562,6.332,-88.873,31.171,2.376,AB2C4,0
Bi2As2O8,0.06,-1.247,No,p2_1/m11,Rectangular (op),4.6,3.404,-74.639,35.963,1.459,ABC4,0
Cd4Cl8,0.038,-1.079,No,pmmn,Rectangular (op),4.606,5.867,-30.942,41.982,3.244,AB2,0
Ba2I4,0.043,-1.794,No,pmmn,Rectangular (op),4.607,3.731,-20.335,44.517,2.995,AB2,0
Te4S2O14,0.026,-1.169,No,pm2_1n,Rectangular (op),4.609,9.033,-116.085,43.119,2.085,AB2C7,0
Mg2Mo2Te2O12,0.004,-1.951,No,p2_12_12,Rectangular (op),4.611,7.708,-128.662,26.922,2.797,ABCD6,0
Ca2I4,0.071,-1.595,No,pmmn,Rectangular (op),4.652,3.58,-19.508,35.838,3.048,AB2,0
Sb4O6,0,-1.362,No,pm2_1n,Rectangular (op),4.675,4.462,-61.988,25.66,1.895,A2B3,0
Cu2C2O2Cl2,0.119,-0.613,No,pm2_1n,Rectangular (op),4.689,7.525,-44.514,18.665,1.553,ABCD,
Al2Se2Cl2,0.009,-1.164,No,pm2_1n,Rectangular (op),4.701,5.285,-24.994,24.058,2.904,ABC,0
Mn2Cl2F2,0.075,-1.643,Yes,pm2_1n,Rectangular (op),4.702,3.251,-36.035,20.18,2.638,ABC,10
Ga4S4Cl4,0,-0.902,No,p2_1/b11,Rectangular (op),4.705,4.436,-45.894,47.214,1.633,ABC,0
Pb2Cl2F2,0.081,-1.786,No,pm2_1n,Rectangular (op),4.706,3.463,-24.977,27.199,2.516,ABC,0
Ga2S2F2,0.079,-1.493,No,pm2_1n,Rectangular (op),4.706,4.276,-26.094,18.776,1.665,ABC,0
Tl4F4,0,-1.824,No,pbma,Rectangular (op),4.709,3.137,-30.928,29.531,2.598,AB,0
Al4Se4Br4,0,-1.005,No,p2_1/b11,Rectangular (op),4.724,4.904,-47.281,50.772,1.668,ABC,0
Na4Sb4O8,0,-1.561,No,p2_1/b11,Rectangular (op),4.726,6.007,-88.827,32.312,1.898,ABC2,0
Na4Sb4O8,0,-1.561,No,pb2_1a,Rectangular (op),4.747,5.978,-88.83,32.595,1.85,ABC2,0
Ga2O2F2,0,-2.229,No,pmmn,Rectangular (op),4.755,4.338,-32.605,11.738,3.03,ABC,0
As2Sb4H2O12,0.024,-1.281,No,p2_111,Rectangular (op),4.765,3.44,-120.708,60.171,1.395,ABC2D6,0
W2Zn2Te2O12,0.032,-1.673,No,p2_12_12,Rectangular (op),4.792,7.715,-123.346,26.937,2.907,ABCD6,0
Sr2S6H8,0.004,-0.673,No,pm2_1b,Rectangular (op),4.8,7.616,-65.188,37.144,1.549,AB3C4,0
Cd4Cl8,0.039,-1.078,No,pbma,Rectangular (op),4.827,5.327,-30.93,52.917,2.54,AB2,0
Al2Se2Cl2,0.002,-1.171,No,pm2_1n,Rectangular (op),4.835,5.522,-25.039,21.532,1.865,ABC,0
As2H2Se2O10,0.023,-0.916,No,p2_111,Rectangular (op),4.841,6.351,-88.84,29.815,1.915,ABCD5,0
K4Sb4O8,0.001,-1.564,No,p2_1/b11,Rectangular (op),4.853,5.757,-88.514,43.795,1.684,ABC2,0
As2Te2H2O10,0,-1.114,No,p2_111,Rectangular (op),4.857,6.305,-91.45,30.135,2.058,ABCD5,0
Mg2W2Te2O12,0.028,-2.003,No,p2_12_12,Rectangular (op),4.867,7.7,-130.159,26.975,2.888,ABCD6,0
Ca2S6H8,0.034,-0.646,No,pm2_1b,Rectangular (op),4.911,7.343,-65.429,34.068,1.575,AB3C4,0
Ga2O2Cl2,0,-1.531,No,pmmn,Rectangular (op),4.957,5.243,-28.812,12.678,3.654,ABC,
Bi2P2O8,0.081,-1.849,No,p2_1/m11,Rectangular (op),4.969,3.034,-83.26,34.813,1.398,ABC4,0
Zn2As4O8,0,-1.312,No,p2_111,Rectangular (op),4.987,5.951,-80.38,23.779,2.161,AB2C4,
Sr2S4I4H8,0,-0.71,No,pman,Rectangular (op),4.991,5.212,-64.943,62.852,1.488,AB2C2D4,0
Al4Se4Cl4,0.008,-1.165,No,pb2_1a,Rectangular (op),4.992,5.597,-50.005,42.824,3.211,ABC,0
Tl2F2,0,-1.824,No,pmmn,Rectangular (op),4.992,2.828,-15.465,18.129,2.162,AB,0
Ti2O6,0.144,-2.166,No,pmmn,Rectangular (op),4.995,4.518,-61.457,11.821,4.408,AB3,
Te2H2P2O10,0,-1.554,No,p2_111,Rectangular (op),5.027,5.835,-99.891,28.874,2.034,ABCD5,0
B4Sb4O12,0.006,-1.877,No,p2_1/b11,Rectangular (op),5.051,4.021,-143.469,44.593,1.727,ABC3,0
Sr2I2Cl2,0.063,-2.065,No,pm2_1n,Rectangular (op),5.081,4.093,-22.267,35.7,2.733,ABC,0
Na6H2S2O8,0.064,-1.557,No,p2_1/m11,Rectangular (op),5.084,6.759,-91.662,40.954,1.031,ABC3D4,0
Al4Se4Cl4,0,-1.173,No,p2_1/b11,Rectangular (op),5.087,4.501,-50.101,50.008,1.622,ABC,0
W2Zn2Se2O12,0.092,-1.521,No,p2_12_12,Rectangular (op),5.09,7.805,-121.173,25.809,2.945,ABCD6,0
Sr2O4I4H8,0,-1.31,No,pman,Rectangular (op),5.091,3.511,-79.944,58.9,1.323,AB2C2D4,0
Mg2W2Se2O12,0.076,-1.857,No,p2_12_12,Rectangular (op),5.091,7.793,-128.085,25.825,2.931,ABCD6,0
Zn2Br2Cl2,0,-1.055,No,pm2_1b,Rectangular (op),5.121,4.912,-15.436,24.613,2.525,ABC,0
Al4S4Br4,0,-1.117,No,p2_1/b11,Rectangular (op),5.123,4.974,-51.013,46.589,1.691,ABC,0
In2H2S2O8,0.033,-1.319,No,p2_1/m11,Rectangular (op),5.132,3.861,-79.795,31.316,1.629,ABCD4,0
Na2C2N2S2,0.102,-0.328,No,pm2_1n,Rectangular (op),5.137,4.744,-48.542,23.163,1.198,ABCD,0
As4O6,0.005,-1.215,No,p2_111,Rectangular (op),5.154,2.14,-61.55,39.413,1.117,A2B3,0
Ba2I2Cl2,0.084,-2.14,No,pm2_1n,Rectangular (op),5.159,4.167,-23.022,40.331,2.79,ABC,0
Ca2S4I4H8,0,-0.685,No,pman,Rectangular (op),5.166,4.929,-65.181,59.132,1.487,AB2C2D4,0
Cd2S2H4O8,0.049,-1.181,No,pm2_1n,Rectangular (op),5.176,4.063,-83.203,29.518,1.673,ABC2D4,0
Ca2O4I4H8,0,-1.292,No,pman,Rectangular (op),5.179,3.355,-80.295,54.696,1.334,AB2C2D4,0
K2C2N2S2,0.066,-0.415,No,pm2_1n,Rectangular (op),5.188,5.055,-49.055,28.211,1.164,ABCD,0
Al2S2Cl2,0,-1.291,No,pm2_1n,Rectangular (op),5.19,5.579,-26.946,19.737,1.89,ABC,0
Ca2I2Cl2,0.077,-1.971,No,pmmn,Rectangular (op),5.193,6.075,-22.379,27.511,3.105,ABC,0
Mo2Zn2S2O12,0.09,-1.555,No,p2_111,Rectangular (op),5.202,7.733,-122.413,30,2.331,ABCD6,0
In2Te2H2O8,0.021,-1.265,No,p2_1/m11,Rectangular (op),5.209,4.401,-77.288,33.065,1.56,ABCD4,0
As6H2O12,0,-1.18,No,p2_111,Rectangular (op),5.211,2.878,-119.727,59.923,1.259,AB3C6,0
H2P2Se2O10,0,-1.341,No,p2_111,Rectangular (op),5.225,5.877,-97.038,28.384,1.912,ABCD5,0
Sc2O2Br2,0,-2.837,No,pmmn,Rectangular (op),5.237,5.832,-39.758,14.191,3.893,ABC,
K2N2O6,0.008,-1.059,No,p2_1/m11,Rectangular (op),5.261,4.588,-60.475,24.026,1.298,ABC3,0
Rb2N2O6,0,-1.055,No,p2_1/m11,Rectangular (op),5.286,4.571,-59.817,26.614,1.246,ABC3,0
Ga2Te2H2O8,0.046,-1.327,No,p2_1/m11,Rectangular (op),5.308,4.292,-78.443,28.974,1.587,ABCD4,0
Cs2N2O6,0,-1.067,No,p2_1/m11,Rectangular (op),5.324,4.787,-59.784,29.478,1.395,ABC3,0
Al2Te2H2O8,0.048,-1.736,No,p2_1/m11,Rectangular (op),5.331,4.195,-85.828,27.518,1.609,ABCD4,0
Ti2O4,0.122,-2.959,No,p2_1/m11,Rectangular (op),5.342,1.976,-51.628,15.563,3.128,AB2,0
Li6Te2H2O8,0,-1.682,No,p2_1/m11,Rectangular (op),5.347,5.529,-95.662,35.455,1.119,ABC3D4,0
Ca4Te4O12,0.01,-2.02,No,p2_1/b11,Rectangular (op),5.348,4.384,-122.75,54.274,1.608,ABC3,0
Li4As4O8,0,-1.654,No,pb2_1a,Rectangular (op),5.351,5.102,-93.678,27.294,1.783,ABC2,0
Y2Cl6,0.041,-2.303,No,pmmn,Rectangular (op),5.361,3.939,-38.519,32.554,3.213,AB3,0
P4O6,0.062,-1.537,No,pb11,Rectangular (op),5.363,1.469,-67.575,36.781,1.134,A2B3,0
P4O6,0.062,-1.537,No,p2_111,Rectangular (op),5.376,1.97,-67.576,34.947,1.194,A2B3,0
Na6Te2H2O8,0.007,-1.487,No,p2_1/m11,Rectangular (op),5.379,6.505,-88.664,44.653,1.028,ABC3D4,0
Sr4Te4O12,0.011,-2.004,No,p2_1/b11,Rectangular (op),5.384,4.387,-121.087,61.362,1.541,ABC3,0
Li4As4O8,0.003,-1.652,No,p2_1/b11,Rectangular (op),5.392,5.101,-93.631,27.625,1.789,ABC2,0
Al2O2Br2,0.04,-2.126,No,pmmn,Rectangular (op),5.397,5.356,-33.647,12.156,3.948,ABC,
Sb4S2O12,0,-1.369,No,p2_12_12,Rectangular (op),5.447,3.304,-111.915,58.59,1.346,AB2C6,0
As4O6,0,-1.22,No,pb11,Rectangular (op),5.45,1.617,-61.599,40.465,1.066,A2B3,0
Sb4H2P2O12,0,-1.631,No,p2_111,Rectangular (op),5.463,3.328,-129.118,57.325,1.393,ABC2D6,0
Cd2Se2H4O8,0,-1.054,No,pm2_1n,Rectangular (op),5.485,4.208,-79.975,30.5,1.604,ABC2D4,
